app,device_id,tick,datetime,device,gps_x,gps_y,value0,value1,value2,value3,value4
EXAMPLE_APP,LASS-Example,49484274,15/7/15 12:15:18,LinkItONE,24.79977166666667,120.99307166666667,47.00,100.00,1.00,856.27,544.52
EXAMPLE_APP,LASS-Example,49519874,15/7/15 12:15:53,LinkItONE,24.79977166666667,120.99307166666667,5.00,100.00,1.00,856.27,109.88
EXAMPLE_APP,LASS-Example,49553616,15/7/15 12:16:27,LinkItONE,24.79977166666667,120.99307166666667,0.00,100.00,1.00,840.41,4739.11
EXAMPLE_APP,LASS-Example,49589816,15/7/15 12:17:3,LinkItONE,24.80016333333333,120.99434000000002,0.00,100.00,1.00,840.41,243.89
EXAMPLE_APP,LASS-Example,49625375,15/7/15 12:17:38,LinkItONE,24.800758333333338,120.994705,0.00,100.00,1.00,840.41,476.57
EXAMPLE_APP,LASS-Example,49660026,15/7/15 12:18:14,LinkItONE,24.801041666666666,120.99484666666666,0.00,100.00,1.00,840.41,416.66
EXAMPLE_APP,LASS-Example,49697545,15/7/15 12:18:51,LinkItONE,24.80126166666666,120.99504,0.00,100.00,1.00,840.41,226.27
EXAMPLE_APP,LASS-Example,49731283,15/7/15 12:19:25,LinkItONE,24.801886666666665,120.99526333333331,0.00,66.00,1.00,840.41,1335.08
EXAMPLE_APP,LASS-Example,49767820,15/7/15 12:20:1,LinkItONE,24.803345,120.99599333333332,0.00,66.00,1.00,840.41,590.01
EXAMPLE_APP,LASS-Example,49802585,15/7/15 12:20:36,LinkItONE,24.802500000000002,120.998195,13.00,66.00,1.00,840.41,754.68
EXAMPLE_APP,LASS-Example,49836576,15/7/15 12:21:10,LinkItONE,24.801569999999998,121.00048833333334,0.00,66.00,1.00,840.41,1424.40
EXAMPLE_APP,LASS-Example,49871393,15/7/15 12:21:45,LinkItONE,24.801698333333334,121.00312000000001,39.00,66.00,1.00,840.41,2881.90
EXAMPLE_APP,LASS-Example,49907067,15/7/15 12:22:20,LinkItONE,24.802366666666668,121.005215,0.00,66.00,1.00,840.41,3085.20
EXAMPLE_APP,LASS-Example,49941358,15/7/15 12:22:55,LinkItONE,24.804205000000003,121.00638833333333,0.00,66.00,1.00,840.41,1595.71
EXAMPLE_APP,LASS-Example,49977646,15/7/15 12:23:31,LinkItONE,24.805825,121.00763333333335,0.00,66.00,1.00,840.41,3797.18
