序號,統計區,統計期,總計
,,,戶籍人口數(年資料為年度資料)(人)
1,臺北市,2015/02,"2,705,113"
2,新北市,2015/02,"3,967,419"
3,臺中市,2015/02,"2,723,479"
4,臺南市,2015/02,"1,884,863"
5,高雄市,2015/02,"2,779,527"
6,基隆市,2015/02,"372,956"
7,新竹市,2015/02,"432,366"
8,嘉義市,2015/02,"270,875"
9,宜蘭縣,2015/02,"458,490"
10,桃園市,2015/02,"2,065,966"
11,新竹縣,2015/02,"537,978"
12,苗栗縣,2015/02,"567,004"
13,彰化縣,2015/02,"1,291,053"
14,南投縣,2015/02,"513,696"
15,雲林縣,2015/02,"704,241"
16,嘉義縣,2015/02,"523,835"
17,屏東縣,2015/02,"846,650"
18,臺東縣,2015/02,"224,092"
19,花蓮縣,2015/02,"333,070"
20,澎湖縣,2015/02,"101,850"
21,金門縣,2015/02,"128,477"
22,連江縣,2015/02,"12,534"
,,,
,,,
,,,
,,,
