74DA38C7D1DC	嘉義縣溪口國民小學(2017)	[623]嘉義縣溪口鄉溪北村中山路53號
74DA38C7D282	嘉義縣文昌國民小學(2017)	[616]嘉義縣新港鄉宮前村古民街12號
74DA38C7D544	嘉義縣蒜頭國民小學(2017)	[615]嘉義縣六腳鄉蒜頭村188號
74DA38C7D5AA	嘉義縣六腳國民小學(2017)	[615]嘉義縣六腳鄉六腳村105號
74DA38C7D2E6	嘉義縣東石國民小學(2017)	[614]嘉義縣東石鄉猿樹村117號
74DA38C7D1BC	嘉義縣東榮國民中學(2017)	[614]嘉義縣東石鄉永屯村39之2號
74DA38C7D066	嘉義縣鹿草國民小學(2017)	[611]嘉義縣鹿草鄉西井村296號
74DA38C7CFC4	嘉義縣義竹國民小學(2017)	[624]嘉義縣義竹鄉六桂村208號
74DA38C7CFA2	嘉義縣南興國民小學(2017)	[624]嘉義縣義竹鄉新店村77號
74DA38C7CF48	嘉義縣安東國民小學(2017)	[612]嘉義縣太保市崙頂村1號
74DA38C7CF16	嘉義縣南新國民小學(2017)	[612]嘉義縣太保市中山路一段140號
74DA38C7D2DC	嘉義縣新埤國民小學(2017)	[612]嘉義縣太保市新埤村214號
74DA38C7D220	嘉義縣嘉新國民中學(2017)	[612]嘉義縣太保市中山路一段586巷7號
74DA38C7D1F6	嘉義縣水上國民小學(2017)	[608]嘉義縣水上鄉水上村正義路182號
74DA38C7D30A	嘉義縣柳林國民小學(2017)	[608]嘉義縣水上鄉柳林村92號
74DA38C7D420	嘉義縣竹崎國民小學(2017)	[604]嘉義縣竹崎鄉竹崎村文化路28號
74DA38C7D50E	嘉義縣內埔國民小學(2017)	[604]嘉義縣竹崎鄉內埔村元興路2號
74DA38C7D1DE	嘉義縣大南國民小學(2017)	[603]嘉義縣梅山鄉大南村大草埔15號
74DA38C7D3BE	嘉義縣梅北國民小學(2017)	[603]嘉義縣梅山鄉梅北村民生街1號
74DA38C7D52E	嘉義縣香林國民小學(2017)	[605]嘉義縣阿里山鄉香林村二鄰41號
74DA38C7D090	嘉義縣民和國民小學(2017)	[602]嘉義縣番路鄉下坑村菜公店91號
74DA38C7D094	嘉義縣頂六國民小學(2017)	[606]嘉義縣中埔鄉金蘭村頂山門25號
74DA38C7D092	嘉義縣和興國民小學(2017)	[606]嘉義縣中埔鄉和興村和興路91號
74DA38C7D096	嘉義縣中埔國民小學(2017)	[606]嘉義縣中埔鄉中埔村中正路1號
74DA38C7D098	嘉義縣大埔國中小學(2017)	[607]嘉義縣大埔鄉竹圍仔5號
74DA38C7D09A	嘉義縣大同國民小學(2017)	[613]嘉義縣朴子市大同路239號
74DA38C7D086	嘉義縣布袋國民小學(2017)	[625]嘉義縣布袋鎮新厝里65號
74DA38C7D08A	嘉義縣景山國民小學(2017)	[625]嘉義縣布袋鎮東港里136號
74DA38C7D08C	嘉義縣三和國民小學(2017)	[622]嘉義縣大林鎮中興路二段937號
74DA38C7D084	嘉義縣平林國民小學(2017)	[622]嘉義縣大林鎮平林里民權路80號
74DA38E2B55E	嘉義縣立朴子國小(2017)	[613]嘉義縣朴子市山通路11號
74DA38E2B54A	嘉義縣立雙溪國小(2017)	[613]嘉義縣朴子市雙溪里30號
