08BEAC0A065E	嘉義縣縣立黎明國小	[602]嘉義縣番路鄉觸口村觸口164號
08BEAC0A06C8	嘉義縣縣立大湖國小	[602]嘉義縣番路鄉大湖村下坪仔8號
08BEAC0A0562	嘉義縣縣立隙頂國小	[602]嘉義縣番路鄉公田村隙頂40號
08BEAC0A04A8	嘉義縣縣立內甕國小	[602]嘉義縣番路鄉內甕村3鄰1之1號
08BEAC0A059E	嘉義縣縣立民和國小	[602]嘉義縣番路鄉下坑村菜公店91號
08BEAC0A04FA	嘉義縣縣立大南國小	[603]嘉義縣梅山鄉大南村大草埔15號
08BEAC0A052C	嘉義縣縣立梅北國小	[603]嘉義縣梅山鄉梅北村民生街1號
08BEAC0A0520	嘉義縣縣立梅山國小	[603]嘉義縣梅山鄉梅東村中山路28號之1
08BEAC0A0584	嘉義縣縣立瑞峰國小	[603]嘉義縣梅山鄉瑞峰村生毛樹19號之1
08BEAC0A0184	嘉義縣縣立瑞里國小	[603]嘉義縣梅山鄉瑞里村112號
08BEAC0A0204	嘉義縣縣立太和國小	[603]嘉義縣梅山鄉太和村三鄰18號
08BEAC09FF34	嘉義縣縣立仁和國小	[603]嘉義縣梅山鄉太和村社前湖6號
08BEAC0A03C4	嘉義縣縣立太平國小	[603]嘉義縣梅山鄉太平村4號
08BEAC0A021C	嘉義縣縣立太興國小	[603]嘉義縣梅山鄉太興村4號
08BEAC0A0272	嘉義縣縣立梅圳國小	[603]嘉義縣梅山鄉圳南村三源23號
08BEAC0A019C	嘉義縣縣立光華國小	[604]嘉義縣竹崎鄉光華村四鄰10號
08BEAC0A0214	嘉義縣縣立龍山國小	[604]嘉義縣竹崎鄉龍山村水道70號
08BEAC0A0186	嘉義縣縣立鹿滿國小	[604]嘉義縣竹崎鄉鹿滿村鹿鳴路2號
08BEAC0A01C2	嘉義縣縣立內埔國小	[604]嘉義縣竹崎鄉內埔村元興路2號
08BEAC0A0100	嘉義縣縣立沙坑國小	[604]嘉義縣竹崎鄉沙坑村57之2號
08BEAC0A064E	嘉義縣縣立桃源國小	[604]嘉義縣竹崎鄉桃源村七鄰78號
08BEAC0A04B4	嘉義縣縣立圓崇國小	[604]嘉義縣竹崎鄉灣橋村387巷28號
08BEAC0A0668	嘉義縣縣立義仁國小	[604]嘉義縣竹崎鄉義和村山子門22號
08BEAC0A0864	嘉義縣縣立中和國小	[604]嘉義縣竹崎鄉中和村奮起湖215號
08BEAC0A07DC	嘉義縣縣立中興國小	[604]嘉義縣竹崎鄉中和村石棹10號
08BEAC0A076E	嘉義縣縣立竹崎國小	[604]嘉義縣竹崎鄉竹崎村文化路28號
08BEAC0A0240	嘉義縣縣立茶山國小	[605]嘉義縣阿里山鄉茶山村三鄰74號
08BEAC0A0794	嘉義縣縣立達邦國小	[605]嘉義縣阿里山鄉達邦村一鄰1號
08BEAC0A07AC	嘉義縣縣立來吉國小	[605]嘉義縣阿里山鄉來吉村四鄰91號
08BEAC0A0586	嘉義縣縣立山美國小	[605]嘉義縣阿里山鄉山美村61號
08BEAC0A0760	嘉義縣縣立十字國小	[605]嘉義縣阿里山鄉十字村16號
