08BEAC245E8C	新竹縣縣立五峰國小(2020)
08BEAC245EAE	新竹縣縣立桃山國小(2020)
08BEAC245EA4	新竹縣縣立花園國小(2020)
08BEAC252B9A	新竹縣縣立花園國小竹林分校(2020)
08BEAC252B9E	新竹縣縣立五峰國中(2020)
08BEAC252C74	新竹縣縣立北埔國小(2020)
08BEAC252BA0	新竹縣縣立大坪國小(2020)
08BEAC252BC2	新竹縣縣立北埔國中(2020)
08BEAC245D8E	新竹縣縣立尖石國小(2020)
08BEAC252CA6	新竹縣縣立嘉興國小(2020)
08BEAC252BF4	新竹縣縣立新樂國小(2020)
08BEAC245D90	新竹縣縣立梅花國小(2020)
08BEAC252C08	新竹縣縣立錦屏國小(2020)
08BEAC252C10	新竹縣縣立玉峰國小(2020)
08BEAC252C0C	新竹縣縣立石磊國小(2020)
08BEAC245DEE	新竹縣縣立秀巒國小(2020)
08BEAC245DB6	新竹縣縣立新光國小司馬庫斯分班(2020)
08BEAC245DB8	新竹縣縣立嘉興國小義興分校(2020)
08BEAC2528D2	新竹縣縣立秀巒國小田埔分校(2020)
08BEAC245ED8	新竹縣縣立尖石國中(2020)
08BEAC245F54	新竹縣縣立竹北國小(2020)
08BEAC245D9C	新竹縣縣立中正國小(2020)
08BEAC245D74	新竹縣縣立竹仁國小(2020)
08BEAC2529A4	新竹縣縣立新社國小(2020)
08BEAC252CAC	新竹縣縣立六家國小(2020)
08BEAC245DBE	新竹縣縣立東海國小(2020)
08BEAC252C62	新竹縣縣立豐田國小(2020)
08BEAC252C42	新竹縣縣立麻園國小(2020)
08BEAC245DB0	新竹縣縣立新港國小(2020)
08BEAC245ECC	新竹縣縣立鳳岡國小(2020)
08BEAC252B0A	新竹縣縣立博愛國小(2020)
08BEAC245DD8	新竹縣縣立光明國小(2020)
08BEAC252B16	新竹縣縣立十興國小(2020)
08BEAC245DDC	新竹縣縣立興隆國小(2020)
08BEAC252B36	新竹縣縣立東興國小(2020)
08BEAC252B2E	新竹縣縣立安興國小(2020)
08BEAC252B06	新竹縣縣立竹北國中(2020)
08BEAC252B0C	新竹縣縣立鳳岡國中(2020)
08BEAC252820	新竹縣縣立博愛國中(2020)
08BEAC252B44	新竹縣縣立仁愛國中(2020)
08BEAC252B8C	新竹縣縣立成功國中(2020)
08BEAC252B56	新竹縣縣立東興國中(2020)
08BEAC252B32	新竹縣縣立六家高級中學附設國中(2020)
08BEAC252B5C	新竹縣縣立竹東國小(2020)
08BEAC252B54	新竹縣縣立中山國小(2020)
08BEAC252CE6	新竹縣縣立大同國小(2020)
08BEAC252CBC	新竹縣縣立二重國小(2020)
08BEAC245E2E	新竹縣縣立竹中國小(2020)
08BEAC245ECA	新竹縣縣立員崠國小(2020)
08BEAC252960	新竹縣縣立陸豐國小(2020)
08BEAC245F66	新竹縣縣立瑞峰國小(2020)
08BEAC245F02	新竹縣縣立上館國小(2020)
08BEAC2528DC	新竹縣縣立竹東國中(2020)
08BEAC245B5C	新竹縣縣立二重國中(2020)
08BEAC25290A	新竹縣縣立員東國中(2020)
08BEAC245F6A	新竹縣縣立自強國中(2020)
08BEAC245FFC	新竹縣縣立芎林國小(2020)
08BEAC252950	新竹縣縣立碧潭國小(2020)
08BEAC25283A	新竹縣縣立五龍國小(2020)
08BEAC245F0E	新竹縣縣立芎林國中(2020)
08BEAC252814	新竹縣縣立峨眉國小(2020)
08BEAC2529E0	新竹縣縣立富興國小(2020)
08BEAC2529D4	新竹縣縣立峨眉國中(2020)
08BEAC2529F6	新竹縣縣立新湖國小(2020)
08BEAC245D34	新竹縣縣立和興國小(2020)
08BEAC245D38	新竹縣縣立信勢國小(2020)
08BEAC2529DE	新竹縣縣立湖口國小(2020)
08BEAC2529B0	新竹縣縣立長安國小(2020)
08BEAC2529AE	新竹縣縣立中興國小(2020)
08BEAC252A50	新竹縣縣立華興國小(2020)
08BEAC252A3E	新竹縣縣立新湖國中(2020)
08BEAC245D5C	新竹縣縣立中正國中(2020)
08BEAC2529AC	新竹縣縣立湖口高中附設國中(2020)
08BEAC252A4A	新竹縣縣立新埔國小(2020)
