74DA38F208DE	宜蘭縣縣立中山國小(2018)	[260]宜蘭縣宜蘭市崇聖街4號
74DA38F208C8	宜蘭縣縣立宜蘭國小(2018)	[260]宜蘭縣宜蘭市崇聖街2號
74DA38F208CA	宜蘭縣縣立力行國小(2018)	[260]宜蘭縣宜蘭市力行路152號
74DA38F208E4	宜蘭縣縣立新生國小(2018)	[260]宜蘭縣宜蘭市大坡路一段100號
74DA38F20844	宜蘭縣縣立光復國小(2018)	[260]宜蘭縣宜蘭市泰山路60號
74DA38F208DA	宜蘭縣縣立育才國小(2018)	[260]宜蘭縣宜蘭市進士路8號
74DA38F20846	宜蘭縣縣立凱旋國小(2018)	[260]宜蘭縣宜蘭市凱旋路130號
74DA38F208C0	宜蘭縣縣立黎明國小(2018)	[260]宜蘭縣宜蘭市校舍路1號
74DA38F2089A	宜蘭縣縣立南屏國小(2018)	[260]宜蘭縣宜蘭市泰山路98號
74DA38F208CC	宜蘭縣縣立羅東國小(2018)	[265]宜蘭縣羅東鎮民族路1號
74DA38F208D0	宜蘭縣縣立成功國小(2018)	[265]宜蘭縣羅東鎮興東南路100號
74DA38F208CE	宜蘭縣縣立公正國小(2018)	[265]宜蘭縣羅東鎮公正路199號
74DA38F208C4	宜蘭縣縣立北成國小(2018)	[265]宜蘭縣羅東鎮北成路一段125號
74DA38F208E2	宜蘭縣縣立竹林國小(2018)	[265]宜蘭縣羅東鎮復興路二段128號
74DA38F208C2	宜蘭縣縣立蘇澳國小(2018)	[270]宜蘭縣蘇澳鎮中山路一段366號
74DA38F208BE	宜蘭縣縣立馬賽國小(2018)	[270]宜蘭縣蘇澳鎮永榮里大同路108號
74DA38F208D6	宜蘭縣縣立蓬萊國小(2018)	[270]宜蘭縣蘇澳鎮南澳路85號
74DA38F208D4	宜蘭縣縣立士敏國小(2018)	[270]宜蘭縣蘇澳鎮光明路8號
74DA38F208D8	宜蘭縣縣立永樂國小(2018)	[270]宜蘭縣蘇澳鎮永樂路1號
74DA38F208E0	宜蘭縣縣立南安國小(2018)	[270]宜蘭縣蘇澳鎮南建里學府路122號
74DA38F20826	宜蘭縣縣立岳明國小(2018)	[270]宜蘭縣蘇澳鎮嶺腳路140號
74DA38F20818	宜蘭縣縣立育英國小(2018)	[270]宜蘭縣蘇澳鎮褔德路134號
74DA38F2096E	宜蘭縣縣立頭城國小(2018)	[261]宜蘭縣頭城鎮開蘭路282號
74DA38F20822	宜蘭縣縣立竹安國小(2018)	[261]宜蘭縣頭城鎮竹安里頭濱路一段601號
74DA38F2083C	宜蘭縣縣立二城國小(2018)	[261]宜蘭縣頭城鎮青雲路二段200號
74DA38F2083E	宜蘭縣縣立大溪國小(2018)	[261]宜蘭縣頭城鎮濱海路4段250號
74DA38F2082E	宜蘭縣縣立大里國小(2018)	[261]宜蘭縣頭城鎮濱海路七段65號
74DA38F20834	宜蘭縣縣立梗枋國小(2018)	[261]宜蘭縣頭城鎮更新里59號
74DA38F20830	宜蘭縣縣立礁溪國小(2018)	[262]宜蘭縣礁溪鄉大忠村礁溪路四段135號
74DA38F2081C	宜蘭縣縣立四結國小(2018)	[262]宜蘭縣礁溪鄉吳沙村育英路46號
74DA38F2082C	宜蘭縣縣立龍潭國小(2018)	[262]宜蘭縣礁溪鄉龍潭村育龍路71號
74DA38F20824	宜蘭縣縣立玉田國小(2018)	[262]宜蘭縣礁溪鄉茅埔路24號
