74DA3895DE88	高雄市漢民國小	高雄市小港區漢民路500號
74DA3895DE86	高雄市港和國小	高雄市小港區平和南路300號
74DA3895DE90	高雄市華山國小	高雄市小港區華仁街1號
74DA3895DE92	高雄市九如國小	高雄市鼓山區九如四路763號
74DA3895DE3E	高雄市龍華國小	高雄市鼓山區大順一路858號
74DA3895DE40	高雄市壽山國小	高雄市鼓山區鼓山二路37巷38弄24號
74DA3895DE46	高雄市中山國小	高雄市鼓山區美術東二路252號
74DA3895DE48	高雄市內惟國小	高雄市鼓山區內惟路73號
74DA3895DE44	高雄市鼓岩國小	高雄市鼓山區河邊街155號
74DA3895DE4A	高雄市鼓山國小	高雄市鼓山區臨海二路50號
74DA3895DE2E	高雄市鳳林國小	高雄市小港區鳳林路207號
74DA3895DE30	高雄市青山國小	高雄市小港區飛機路153號
74DA3895DE42	高雄市太平國小	高雄市小港區營口路1號
74DA3895DE32	高雄市鳳鳴國小	高雄市小港區鳳鳴路191號
74DA3895DE36	高雄市坪頂國小	高雄市小港區大平路2號
74DA3895DE38	高雄市二苓國小	高雄市小港區立群路6號
74DA3895DE3A	高雄市桂林國小	高雄市小港區桂陽路390號
74DA3895DE3C	高雄市小港國小	高雄市小港區平和路1號
74DA3895DE20	高雄市紅毛港國小	高雄市前鎮區明鳳7街1號
74DA3895DE22	高雄市佛公國小	高雄市前鎮區后平路135號
74DA3895DEF0	高雄市民權國小	高雄市前鎮區沱江街200號
74DA3895DEFE	高雄市瑞祥國小	高雄市前鎮區班超路20號
74DA3895DF00	高雄市鎮昌國小	高雄市前鎮區樹人路261號
74DA3895DEE8	高雄市光華國小	高雄市前鎮區廣西路57號
74DA3895DEE6	高雄市前鎮國小	高雄市前鎮區新生路200號
74DA3895DEE4	高雄市獅甲國小	高雄市前鎮區中山三路45號
74DA3895DEE2	高雄市仁愛國小	高雄市前鎮區新衙路93號
74DA3895DDDC	高雄市樂群國小	高雄市前鎮區育樂路61號
74DA3895DEDE	高雄市愛群國小	高雄市前鎮區二聖二路194號
74DA3895DEDA	高雄市復興國小	高雄市前鎮區民權二路331號
74DA3895DF06	高雄市瑞豐國小	高雄市前鎮區瑞隆路100號
74DA3895DED6	高雄市明正國小	高雄市前鎮區明道路2號
74DA3895DED8	高雄市翠屏國中小	高雄市楠梓區翠屏路135號
74DA3895DEDC	高雄市東門國小	高雄市美濃區民族路36巷2號
74DA3895DED0	高雄市吉洋國小	高雄市美濃區忠孝路二段59號
74DA3895DECE	高雄市楠梓國小	高雄市楠梓區楠梓路262號
74DA3895DECC	高雄市美濃國小	高雄市美濃區泰安里第五鄰永安路190號
74DA3895DE4C	高雄市援中國小	高雄市楠梓區大學26街1150號
74DA3895DE8E	高雄市後勁國小	高雄市楠梓區加昌路216號
74DA3895DE8C	高雄市莒光國小	高雄市楠梓區後昌路842號
74DA3895E182	高雄市右昌國小	高雄市楠梓區加昌路910號
74DA3895E140	高雄市楠陽國小	高雄市楠梓區楠陽路100號
74DA3895DEC0	高雄市加昌國小	高雄市楠梓區樂群路220號
74DA3895DEC2	高雄市油廠國小	高雄市楠梓區左楠路4號
74DA3895DEC4	高雄市新興國小	高雄市新興區民生一路321號
74DA3895DEC6	高雄市大同國小	高雄市新興區大同一路231號
74DA3895DEBE	高雄市信義國小	高雄市新興區中正三路32號
74DA3895DEC8	高雄市七賢國小	高雄市新興區七賢一路393號
74DA3895DECA	高雄市三侯國小	高雄市湖內區中正路二段544號
74DA3895DEBC	高雄市茄萣國小	高雄市茄萣區茄萣路二段307號
74DA3895DEBA	高雄市大湖國小	高雄市湖內區民權路2號
74DA3895DEB8	高雄市海埔國小	高雄市湖內區海埔里忠孝街256號
74DA3895DEB6	高雄市文賢國小	高雄市湖內區中正路二段39號
74DA3895DEB4	高雄市明宗國小	高雄市湖內區公館里保生路103號
74DA3895DEB0	高雄市彌陀國小	高雄市彌陀區中正路213號
74DA3895DEA2	高雄市新港國小	高雄市永安區新港里新興路25號
74DA3895DEA4	高雄市永安國小	高雄市永安區永華路49號
74DA3895DEA6	高雄市砂崙國小	高雄市茄萣區文化路81號
74DA3895DEA8	高雄市成功國小	高雄市茄萣區成功路1號
74DA3895DEB2	高雄市旗山國小	高雄市旗山區華中街44號
74DA3895E0A0	高雄市南安國小	高雄市彌陀區漯底里樂安路1號
74DA3895E0A2	高雄市壽齡國小	高雄市彌陀區文安里國校路1號
74DA3895E088	高雄市梓官國小	高雄市梓官區進學路61號
74DA3895E08A	高雄市蚵寮國小	高雄市梓官區光明路177號
74DA3895E08C	高雄市旗尾國小	高雄市旗山區延平二路19號
74DA3895E08E	高雄市圓潭國小	高雄市旗山區旗甲路三段179號
74DA3895E090	高雄市嶺口國小	高雄市旗山區南勝里龍文巷30號
74DA3895E092	高雄市鼓山國小	高雄市旗山區延平一路111號
74DA3895E094	高雄市溪洲國小	高雄市旗山區旗南二路126號
74DA3895DFD2	高雄市壽天國小	高雄市岡山區岡山鎮公園東路55號
74DA3895E07C	高雄市王公國小	高雄市林園區王公二路100號
74DA3895E07E	高雄市後庄國小	高雄市大寮區後庄里民揚路28號
74DA3895E080	高雄市民權國小	高雄市那瑪夏區瑪雅里平和巷220號
74DA3895E082	高雄市興達國小	高雄市茄萣區民治路2號
74DA3895E084	高雄市橋頭國小	高雄市橋頭區橋頭里樹德路200號
74DA3895E086	高雄市中崙國小	高雄市鳳山區中崙四路25號
74DA3895DE0A	高雄市過埤國小	高雄市鳳山區過埤里過埤路176號
74DA3895DE0C	高雄市橫山國小	高雄市燕巢區橫山里橫山路24號
