74DA38F20F08	高雄市市立漢民國小	高雄市漢民國小 高雄市小港區漢民路500號
74DA38F20F24	高雄市市立港和國小	高雄市港和國小 高雄市小港區平和南路300號
74DA38F20F26	高雄市市立華山國小	高雄市華山國小 高雄市小港區華仁街1號
74DA38F20F1E	高雄市市立九如國小	高雄市九如國小 高雄市鼓山區九如四路763號
74DA38F20ED4	高雄市市立龍華國小	高雄市龍華國小 高雄市鼓山區大順一路858號
74DA38F20F16	高雄市市立壽山國小	高雄市壽山國小 高雄市鼓山區鼓山二路37巷38弄24號
74DA38F20F20	高雄市市立中山國小	高雄市中山國小 高雄市鼓山區美術東二路252號
74DA38F20F12	高雄市市立內惟國小	高雄市內惟國小 高雄市鼓山區內惟路73號
74DA38F20F14	高雄市市立鼓岩國小	高雄市鼓岩國小 高雄市鼓山區河邊街155號
74DA38F20F0C	高雄市市立鼓山國小	高雄市鼓山國小 高雄市鼓山區臨海二路50號
74DA38F20F6C	高雄市市立鳳林國小	高雄市鳳林國小 高雄市小港區鳳林路207號
74DA38F20F68	高雄市市立青山國小	高雄市青山國小 高雄市小港區飛機路153號
74DA38F20EFC	高雄市市立太平國小	高雄市太平國小 高雄市小港區營口路1號
74DA38F20EF8	高雄市市立鳳鳴國小	高雄市鳳鳴國小 高雄市小港區鳳鳴路191號
74DA38F20F6A	高雄市市立坪頂國小	高雄市坪頂國小 高雄市小港區大平路2號
74DA38F20EFA	高雄市市立二苓國小	高雄市二苓國小 高雄市小港區立群路6號
74DA38F20F66	高雄市市立桂林國小	高雄市桂林國小 高雄市小港區桂陽路390號
74DA38F20F04	高雄市市立小港國小	高雄市小港國小 高雄市小港區平和路1號
74DA38F20EC8	高雄市市立紅毛港國小	高雄市紅毛港國小 高雄市前鎮區明鳳7街1號
74DA38F20F06	高雄市市立佛公國小	高雄市佛公國小 高雄市前鎮區后平路135號
74DA38F20DDC	高雄市市立民權國小	高雄市民權國小 高雄市前鎮區沱江街200號
74DA38F20DE0	高雄市市立瑞祥國小	高雄市瑞祥國小 高雄市前鎮區班超路20號
74DA38F20DE2	高雄市市立鎮昌國小	高雄市鎮昌國小 高雄市前鎮區樹人路261號
74DA38F20DD4	高雄市市立光華國小	高雄市光華國小 高雄市前鎮區廣西路57號
74DA38F20DE4	高雄市市立前鎮國小	高雄市前鎮國小 高雄市前鎮區新生路200號
74DA38F20DD8	高雄市市立獅甲國小	高雄市獅甲國小 高雄市前鎮區中山三路45號
74DA38F20DDE	高雄市市立仁愛國小	高雄市仁愛國小 高雄市前鎮區新衙路93號
74DA38F20DD0	高雄市市立樂群國小	高雄市樂群國小 高雄市前鎮區育樂路61號
74DA38F20DD6	高雄市市立愛群國小	高雄市愛群國小 高雄市前鎮區二聖二路194號
74DA38F20DCE	高雄市市立復興國小	高雄市復興國小 高雄市前鎮區民權二路331號
74DA38F20D8A	高雄市市立瑞豐國小	高雄市瑞豐國小 高雄市前鎮區瑞隆路100號
74DA38F20D8E	高雄市市立明正國小	高雄市明正國小 高雄市前鎮區明道路2號
74DA38F20D8C	高雄市市立翠屏國中小	高雄市翠屏國中小 高雄市楠梓區翠屏路135號
74DA38F20DE8	高雄市市立東門國小	高雄市東門國小 高雄市美濃區民族路36巷2號
