08BEAC245C48	苗栗縣立建中國小(2020)	[367]苗栗縣三義鄉廣盛村廣盛80號
08BEAC245CB4	苗栗縣立僑成國小(2020)	[367]苗栗縣三義鄉勝興村廿份220號
08BEAC245C86	苗栗縣立育英國小(2020)	[367]苗栗縣三義鄉西湖村上湖63號
08BEAC245AF2	苗栗縣立鯉魚國小(2020)	[367]苗栗縣三義鄉鯉魚潭村上山下24號
08BEAC245C26	苗栗縣立三義高中附設國中(2020)	[367]苗栗縣三義鄉廣盛村11鄰122號
08BEAC245CA2	苗栗育英國小龍騰分校(2020)	苗栗縣三義鄉龍騰村外庄49號
08BEAC245C54	苗栗縣立三灣國小(2020)	[352]苗栗縣三灣鄉三灣村中山路49號
08BEAC245C50	苗栗縣立三灣國小-大坪分校(2020)	[352]苗栗縣三灣鄉大坪村4鄰大坪林42號
08BEAC245C7A	苗栗縣立三灣國中(2020)	[352]苗栗縣三灣鄉三灣村忠信路17號
08BEAC245C44	苗栗縣立大湖國小(2020)	[364]苗栗縣大湖鄉大湖村中正路育英巷11號
08BEAC245C4A	苗栗縣立南湖國小(2020)	[364]苗栗縣大湖鄉義和村南昌路5號
08BEAC245C4C	苗栗縣立華興國小(2020)	[364]苗栗縣大湖鄉富興村水尾2號
08BEAC245C70	苗栗縣立大南國小(2020)	[364]苗栗縣大湖鄉大南村7鄰大南勢15號
08BEAC245C64	苗栗縣立東興國小(2020)	[364]苗栗縣大湖鄉東興村下湖37號
08BEAC245C42	苗栗縣立武榮國小(2020)	[364]苗栗縣大湖鄉義和村淋漓坪77號
08BEAC245C3A	苗栗縣立新開國小(2020)	[364]苗栗縣大湖鄉新開村25號
08BEAC245C4E	苗栗縣立栗林國小(2020)	[364]苗栗縣大湖鄉栗林村四份61號
08BEAC245C38	苗栗縣立大湖國中(2020)	[364]苗栗縣大湖鄉靜湖村民族路80號
08BEAC245C78	苗栗縣立南湖國中(2020)	[364]苗栗縣大湖鄉義和村12號
08BEAC245C82	苗栗縣立公館國小(2020)	[363]苗栗縣公館鄉館中村大同路15號
08BEAC245C34	苗栗縣立五穀國小(2020)	[363]苗栗縣公館鄉五穀村260號
08BEAC245B00	苗栗縣立福基國小(2020)	[363]苗栗縣公館鄉福基村275號
08BEAC245BBA	苗栗縣立鶴岡國小(2020)	[363]苗栗縣公館鄉鶴山村197號
08BEAC245C04	苗栗縣立開礦國小(2020)	[363]苗栗縣公館鄉開礦村九鄰143號
08BEAC245B70	苗栗縣立南河國小(2020)	[363]苗栗縣公館鄉南河村二鄰21號
08BEAC245B04	苗栗縣立仁愛國小(2020)	[363]苗栗縣公館鄉中村仁愛路二段123號
08BEAC245B0A	苗栗縣立公館國中(2020)	[363]苗栗縣公館鄉館中村大同路3號
08BEAC245C08	苗栗縣立鶴岡國中(2020)	[363]苗栗縣公館鄉鶴岡村178號
08BEAC245BB8	苗栗縣立竹南國小(2020)	[350]苗栗縣竹南鎮中正路146號
08BEAC245B6A	苗栗縣立照南國小(2020)	[350]苗栗縣竹南鎮佳興里光復路331號
08BEAC245C2C	苗栗縣立大埔國小(2020)	[350]苗栗縣竹南鎮大埔里仁愛路1092號
08BEAC245C2E	苗栗縣立頂埔國小(2020)	[350]苗栗縣竹南鎮頂埔里15鄰頂大埔110號
08BEAC245AA4	苗栗縣立海口國小(2020)	[350]苗栗縣竹南鎮海口里7鄰保福路20號
08BEAC245AB6	苗栗縣立竹興國小(2020)	[350]苗栗縣竹南鎮竹興里竹圍街27號
08BEAC245BEE	苗栗縣立新南國小(2020)	[350]苗栗縣竹南鎮新南里五谷街2號
08BEAC245B90	苗栗縣立山佳國小(2020)	[350]苗栗縣竹南鎮山佳里龍山路三段39號
08BEAC245ADC	苗栗縣立竹南國中(2020)	[350]苗栗縣竹南鎮正南里中正路92號
08BEAC245AD0	苗栗縣立照南國中(2020)	[350]苗栗縣竹南鎮佳興里３鄰公教路2號
08BEAC245B9C	苗栗縣立大同高中附設國中(2020)	[350]苗栗縣竹南鎮大埔里六鄰公義路890號
08BEAC245AA6	苗栗縣立西湖國小(2020)	[368]苗栗縣西湖鄉龍洞村一鄰18號
08BEAC252C3E	苗栗縣立五湖國小(2020)	[368]苗栗縣西湖鄉五湖村上湖96號
08BEAC245ABE	苗栗縣立僑文國小(2020)	[368]苗栗縣西湖鄉二湖村二鄰22號
08BEAC245AB4	苗栗縣立西湖國中(2020)	[368]苗栗縣西湖鄉龍洞村一鄰1之1號
08BEAC245A9E	苗栗西湖國小瑞湖分校(2020)	[368]苗栗縣西湖鄉四湖村老屋16號
08BEAC245B28	苗栗縣立卓蘭國小(2020)	[369]苗栗縣卓蘭鎮新厝里中山路125號
08BEAC245AA2	苗栗縣立內灣國小(2020)	[369]苗栗縣卓蘭鎮內灣里120號
08BEAC245ABC	苗栗縣立豐田國小(2020)	[369]苗栗縣卓蘭鎮豐田里36號
08BEAC245ABA	苗栗縣立坪林國小(2020)	[369]苗栗縣卓蘭鎮坪林里七鄰坪林86之2號
