台中市樂業國小	74DA3895C48E	40152 臺中市東區樂業路60號
台中市臺中國小	74DA3895C48A	40146 臺中市東區臺中路153號
台中市力行國小	74DA3895C2D0	40143 臺中市東區東勢里17鄰進化路223號
台中市大智國小	74DA3895C2CE	40145 臺中市東區大智路359號
台中市進德國小	74DA3895C47A	40141 臺中市東區東勢里進化路135號
台中市成功國小	74DA3895C478	40152 臺中市東區旱溪西路一段300號
台中市樹義國小	74DA3895C480	40241 臺中市南區福田路11號
台中市信義國小	74DA3895C476	40246 臺中市南區五權南路325號
台中市和平國小	74DA3895C2CA	40245 臺中市南區復興路二段57號
台中市國光國小	74DA3895C2CC	40254 臺中市南區國光路261號
台中市大同國小	74DA3895C228	40342 臺中市西區自由路一段138號
台中市忠孝國小	74DA3895C200	40343 臺中市西區三民路一段171號
台中市大勇國小	74DA3895C226	40347 臺中市西區忠明南路515號
台中市忠信國小	74DA3895C1FC	40345 臺中市西區林森路155號
台中市忠明國小	74DA3895C20C	40360 臺中市西區臺灣大道二段556號
台中市中正國小	74DA3895C204	40350 臺中市西區英才路423號
台中市賴厝國小	74DA3895C216	40449 臺中市北區漢口路四段168號
台中市中華國小	74DA3895C206	40441 臺中市北區漢口路三段2號
台中市太平國小	74DA3895C1F8	40444 臺中市北區太平路74號
台中市省三國小	74DA3895C490	40452 臺中市北區崇德路一段107號
台中市健行國小	74DA3895C3DA	40461 臺中市北區健行路666號
台中市篤行國小	74DA3895C34C	40442 臺中市北區篤行路321號
台中市立人國小	74DA3895C3D4	40460 臺中市北區北平路一段60號
台中市光復國小	74DA3895C3F6	40042 臺中市中區三民路二段148號
台中市文心國小	74DA3895C3D6	40666 臺中市北屯區文心路四段575號
台中市四維國小	74DA3895C32E	40654 臺中市北屯區文心路四段956號
台中市僑孝國小	74DA3895C404	40654 臺中市北屯區北屯路435號
台中市東光國小	74DA3895C32C	40645 臺中市北屯區東光路926號
台中市逢甲國小	74DA3895C30E	40661 臺中市北屯區北坑巷60號
台中市文昌國小	74DA3895C310	40652 臺中市北屯區昌平路一段91號
台中市陳平國小	74DA3895C3CE	40677 臺中市北屯區陳平路58號
台中市松竹國小	74DA3895C3F2	40668 臺中市北屯區昌平路二段12號
台中市建功國小	74DA3895C3D0	40643 臺中市北屯區軍功里軍和街43號
台中市仁愛國小	74DA3895C34A	40677 臺中市北屯區四平路71號
台中市新興國小	74DA3895C3F4	40682 臺中市北屯區新興路20號
台中市仁美國小	74DA3895C400	40673 臺中市北屯區崇德路三段568號
台中市四張犁國小	74DA3895C3FA	40679 臺中市北屯區后庄路910號
台中市軍功國小	74DA3895C350	40642 臺中市北屯區軍福十三路300號
台中市北屯國小	74DA3895C3DE	40679 臺中市北屯區后庄路910號
台中市大坑國小	74DA3895C34E	40662 薹中市北屯區東山路2段112號
台中市重慶國小	74DA3895C582	40751 臺中市西屯區重慶路358號
台中市國安國小	74DA3895C5A4	40763 臺中市西屯區永安里國祥街1號
台中市上石國小	74DA3895C584	40744 臺中市西屯區西屯路二段上石南六巷25號
台中市西屯國小	74DA3895C28A	40749 台中市西屯區西屯路二段300號
台中市永安國小	74DA3895C586	40765 臺中市西屯區西屯路三段133號
台中市上安國小	74DA3895C276	40757 臺中市西屯區上安路156號
台中市長安國小	74DA3895C59A	40749 臺中市西屯區櫻花路18號
台中市惠來國小	74DA3895C26E	40748 臺中市西屯區文中路168號
台中市何厝國小	74DA3895C58A	40745 臺中市西屯區重慶路1號
台中市泰安國小	74DA3895C28C	40760 臺中市西屯區環中路二段368號
台中市大鵬國小	74DA3895C2D2	40754 臺中市西屯區中平路268號
台中市大仁國小	74DA3895C592	40750 臺中市西屯區重慶路200號
台中市協和國小	74DA3895C5A6	40765 臺中市西屯區安和路99號
