08BEAC0A0412	台中市立大智國小	40145 臺中市東區大智路359號
08BEAC0A0404	台中市立樂業國小	40152 臺中市東區樂業路60號
08BEAC0A0350	台中市立臺中國小	40146 臺中市東區臺中路153號
08BEAC0A03F0	台中市立成功國小	40152 臺中市東區旱溪西路一段300號
08BEAC0A0370	台中市立力行國小	40143 臺中市東區東勢里17鄰進化路223號
08BEAC0A0402	台中市立進德國小	40141 臺中市東區東勢里進化路135號
08BEAC0A03FE	台中市立樹義國小	40241 臺中市南區福田路11號
08BEAC0A0354	台中市立信義國小	40246 臺中市南區五權南路325號
08BEAC0A03F2	台中市立和平國小	40245 臺中市南區復興路二段57號
08BEAC0A03F6	台中市立國光國小	40254 臺中市南區國光路261號
08BEAC0A0368	台中市立忠孝國小	40343 臺中市西區三民路一段171號
08BEAC0A040C	台中市立大同國小	40342 臺中市西區自由路一段138號
08BEAC0A03A4	台中市立大勇國小	40347 臺中市西區忠明南路515號
08BEAC0A03AE	台中市立忠信國小	40345 臺中市西區林森路155號
08BEAC0A0400	台中市立忠明國小	40360 臺中市西區臺灣大道二段556號
08BEAC0A00C8	台中市立中正國小	40350 臺中市西區英才路423號
08BEAC0A0356	台中市立賴厝國小	40449 臺中市北區漢口路四段168號
08BEAC0A038A	台中市立中華國小	40441 臺中市北區漢口路三段2號
08BEAC0A0398	台中市立太平國小	40444 臺中市北區太平路74號
08BEAC0A007A	台中市立省三國小	40452 臺中市北區崇德路一段107號
08BEAC0A018E	台中市立健行國小	40461 臺中市北區健行路666號
08BEAC0A0426	台中市立篤行國小	40442 臺中市北區篤行路321號
08BEAC0A00A6	台中市立立人國小	40460 臺中市北區北平路一段60號
08BEAC09FF58	台中市立光復國小	40042 臺中市中區三民路二段148號
08BEAC0A044A	台中市立松竹國小	40668 臺中市北屯區昌平路二段12號
08BEAC09FF70	台中市立仁愛國小	40677 臺中市北屯區四平路71號
08BEAC0A02D2	台中市立四張犁國小	40679 臺中市北屯區后庄路910號
08BEAC0A008A	台中市立東光國小	40645 臺中市北屯區東光路926號
08BEAC0A0074	台中市立四維國小	40654 臺中市北屯區文心路四段956號
08BEAC0A0086	台中市立僑孝國小	40654 臺中市北屯區北屯路435號
08BEAC0A04CC	台中市立逢甲國小	40661 臺中市北屯區北坑巷60號
08BEAC0A0420	台中市立陳平國小	40677 臺中市北屯區陳平路58號
08BEAC0A0438	台中市立建功國小	40643 臺中市北屯區軍功里軍和街43號
08BEAC0A0194	台中市立文昌國小	40652 臺中市北屯區昌平路一段91號
08BEAC0A0450	台中市立新興國小	40682 臺中市北屯區新興路20號
08BEAC0A00C6	台中市立仁美國小	40673 臺中市北屯區崇德路三段568號
08BEAC09FF50	台中市立軍功國小	40642 臺中市北屯區軍福十三路300號
08BEAC0A01E0	台中市立北屯國小	40646 臺中市北屯區進化北路2號
08BEAC0A018C	台中市立文心國小	40666 臺中市北屯區文心路四段575號
08BEAC0A01E2	台中市立大坑國小	40662 薹中市北屯區東山路2段112號
08BEAC0A00AA	台中市立國安國小	40763 臺中市西屯區永安里國祥街1號
08BEAC0A0210	台中市立重慶國小	40751 臺中市西屯區重慶路358號
08BEAC0A0340	台中市立上石國小	40744 臺中市西屯區西屯路二段上石南六巷25號
08BEAC0A042A	台中市立西屯國小	40749 臺中市西屯區西屯路二段300號
08BEAC0A0358	台中市立上安國小	40757 臺中市西屯區上安路156號
08BEAC0A0376	台中市立永安國小	40765 臺中市西屯區西屯路三段133號
08BEAC0A0390	台中市立長安國小	40749 臺中市西屯區櫻花路18號
08BEAC0A043C	台中市立惠來國小	40748 臺中市西屯區文中路168號
08BEAC0A0360	台中市立何厝國小	40745 臺中市西屯區重慶路1號
08BEAC0A045A	台中市立泰安國小	40760 臺中市西屯區環中路二段368號
08BEAC0A0442	台中市立大仁國小	40750 臺中市西屯區重慶路200號
08BEAC0A03B0	台中市立大鵬國小	40754 臺中市西屯區中平路268號
08BEAC0A0454	台中市立協和國小	40765 臺中市西屯區安和路99號
08BEAC0A03FC	台中市立東海國小	407 臺中市西屯區福聯里國際街75號
08BEAC0A0448	台中市立永春國小	40855 臺中市南屯區永春東路288號
08BEAC0A03F8	台中市立大新國小	40866 臺中市南屯區文心路一段280號
08BEAC0A0374	台中市立東興國小	40848 臺中市南屯區大隆路71號
