74DA3895E05C	台南市立月津國小(2016)	臺南市鹽水區月津路16號
74DA3895E04C	台南市立新光國小(2016)	臺南市關廟區新光街76號
74DA3895E04E	台南市立坔頭港國小(2016)	臺南市鹽水區南港里202號
74DA3895DFF6	台南市立岸內國小(2016)	臺南市鹽水區岸內里新岸內96號
74DA3895E05E	台南市立深坑國小(2016)	臺南市關廟區南雄路一段487號
74DA3895E068	台南市立鹽水國小(2016)	臺南市鹽水區朝琴路137號
74DA3895E010	台南市立七股國小(2016)	臺南市七股區大埕里395號
74DA3895DE5E	台南市立後港國小(2016)	臺南市七股區大潭里台潭1號
74DA3895DE5C	台南市立竹橋國小(2016)	臺南市七股區竹橋里130號
74DA3895DE76	台南市立三股國小(2016)	臺南市七股區三股里100號
74DA3895DE72	台南市立光復國小(2016)	臺南市七股區塩埕里1號
74DA3895DE56	台南市立篤加國小(2016)	臺南市七股區篤加里120號
74DA3895DE54	台南市立龍山國小(2016)	臺南市七股區龍山里12號
74DA3895DE52	台南市立建功國小(2016)	臺南市七股區十份里74之1號
74DA3895DE62	台南市立大文國小(2016)	臺南市七股區大寮里36之2號
74DA3895DE60	台南市立樹林國小(2016)	臺南市七股區樹林里65之11號
74DA3895DE50	台南市立下營國小(2016)	臺南市下營區仁里里13鄰中山路二段72號
74DA3895DE64	台南市立中營國小(2016)	臺南市下營區開化里270號
74DA3895DE66	台南市立賀建國小(2016)	臺南市下營區賀建里麻豆寮49號
74DA3895DE58	台南市立甲中國小(2016)	臺南市下營區甲中里71號
74DA3895DE5A	台南市立東興國小(2016)	臺南市下營區新興里東興一街112號
74DA3895DE74	台南市立大內國小(2016)	臺南市大內區大內里63號
74DA3895DE80	台南市立二溪國小(2016)	臺南市大內區二溪里154號
74DA3895DE82	台南市立大內國小-頭社分校(2016)	臺南市大內區頭社里10號
74DA3895DE84	台南市立山上國小(2016)	臺南市山上區南洲里42號
74DA3895DE6A	台南市立協進國小(2016)	臺南市中西區金華路四段17號
74DA3895DF2A	台南市立新南國小(2016)	臺南市中西區府前路二段258巷57號
74DA3895DF28	台南市立成功國小(2016)	臺南市中西區赤嵌里成功路235號
74DA3895DF26	台南市立永福國小(2016)	臺南市中西區永福路二段86號
74DA3895DF24	台南市立忠義國小(2016)	臺南市中西區永華里忠義路二段2號
74DA3895DF40	台南市立進學國小(2016)	臺南市中西區南寧街47號
74DA3895DF2C	台南市立仁德國小(2016)	臺南市仁德區中正路二段806號
74DA3895DF3A	台南市立文賢國小(2016)	臺南市仁德區保安里文賢路一段886號
74DA3895DF2E	台南市立長興國小(2016)	臺南市仁德區土庫路6號
74DA3895DF36	台南市立依仁國小(2016)	臺南市仁德區中洲里港墘3號
74DA3895DF38	台南市立大甲國小(2016)	臺南市仁德區大甲里中正西路360巷30號
74DA3895DF30	台南市立仁和國小(2016)	臺南市仁德區仁愛里保仁路68號
74DA3895E1A6	台南市立德南國小(2016)	臺南市仁德區後壁里中正路二段209號
74DA3895E1A8	台南市立虎山國小(2016)	臺南市仁德區成功里虎山一街100號
74DA3895E1AA	台南市立六甲國小(2016)	臺南市六甲區中正路319號
74DA3895E1A2	台南市立林鳳國小(2016)	臺南市六甲區中社里林鳳營240號
74DA3895E1AE	台南市立六甲國小-湖東分校(2016)	臺南市六甲區王爺里24號
74DA3895E1B0	台南市立嘉南國小(2016)	臺南市六甲區龍湖里11鄰珊瑚路301號
74DA3895E1B2	台南市立北門國小(2016)	臺南市北門區北門里舊埕3號
74DA3895DFB8	台南市立蚵寮國小(2016)	臺南市北門區鯤江里791號
74DA3895DF6C	台南市立文山國小(2016)	臺南市北門區中樞里50號
74DA3895E01A	台南市立錦湖國小(2016)	臺南市北門區錦湖里75號
74DA3895E006	台南市立雙春國小(2016)	臺南市北門區雙春里35之2號
74DA3895E008	台南市立三慈國小(2016)	臺南市北門區慈安里381號
74DA3895E00A	台南市立北門國小-玉湖分校(2016)	臺南市北門區玉港里39之3號
74DA3895E00C	台南市立立人國小(2016)	臺南市北區西門路三段41號
74DA3895E00E	台南市立公園國小(2016)	臺南市北區西華里公園路180號
74DA3895E018	台南市立開元國小(2016)	臺南市北區勝安里開元路71巷32號
74DA3895E004	台南市立大光國小(2016)	臺南市北區長榮路五段277號
74DA3895E002	台南市立大港國小(2016)	臺南市北區大港街146號
74DA3895E000	台南市立文元國小(2016)	臺南市北區海安路三段815號
74DA3895DFFE	台南市立賢北國小(2016)	臺南市北區大興街599號
74DA3895DFFC	台南市立左鎮國小(2016)	臺南市左鎮區中正里7號
74DA3895DFFA	台南市立光榮國小(2016)	臺南市左鎮區榮和里61之1號
74DA3895DFF8	台南市立永康國小(2016)	臺南市永康區永康里中山南路637號
74DA3895DE1E	台南市立大灣國小(2016)	臺南市永康區大灣路283號
74DA3895DE1C	台南市立三村國小(2016)	臺南市永康區塩洲里鹽行路2號
74DA3895DE1A	台南市立西勢國小(2016)	臺南市永康區富強路一段278號
74DA3895DE18	台南市立復興國小(2016)	臺南市永康區華興街2號
74DA3895DE16	台南市立龍潭國小(2016)	臺南市永康區龍潭街214號
74DA3895DE4E	台南市立大橋國小(2016)	臺南市永康區大橋三街173號
74DA3895E1A0	台南市立崑山國小(2016)	臺南市永康區國光五街72號
74DA3895DE34	台南市立五王國小(2016)	臺南市永康區中華二路150號
74DA3895E19E	台南市立永信國小(2016)	臺南市永康區復華7街166號
74DA3895E1AC	台南市立勝利國小(2016)	臺南市永康區勝學路111號
74DA3895E19C	台南市立玉井國小(2016)	臺南市玉井區中正路1號
74DA3895E19A	台南市立層林國小(2016)	臺南市玉井區層林里115號
74DA3895E0F4	台南市立白河國小(2016)	臺南市白河區永安里三民路448號
74DA3895E0F8	台南市立玉豐國小(2016)	臺南市白河區玉豐里85號
74DA3895E0F6	台南市立竹門國小(2016)	臺南市白河區竹門里113號
74DA3895E0FC	台南市立內角國小(2016)	臺南市白河區內角里1號
74DA3895E0FE	台南市立仙草國小(2016)	臺南市白河區仙草里22號
74DA3895E0FA	台南市立河東國小(2016)	臺南市白河區河東里83之1號
74DA3895E100	台南市立大竹國小(2016)	臺南市白河區大竹里3號
74DA3895E102	台南市立河東國小-六溪分校(2016)	臺南市白河區六溪里26號
74DA3895E106	台南市立仙草國小-關嶺分校(2016)	臺南市白河區仙草里22號
74DA3895E114	台南市立石門國小(2016)	臺南市安平區石門里安平路700號
74DA3895E112	台南市立西門國小(2016)	臺南市安平區安北路180號
74DA3895E110	台南市立安平國小(2016)	臺南市安平區怡平路392號
74DA3895E10E	台南市立億載國小(2016)	臺南市安平區郡平路310號
74DA3895E10C	台南市立億載國小-漁光分校(2016)	臺南市安平區漁光路133號
74DA3895E0D2	台南市立安定國小(2016)	臺南市安定區安定里1號
74DA3895E0D4	台南市立南安國小(2016)	臺南市安定區南安里62號
74DA3895E0D0	台南市立南興國小(2016)	臺南市安定區六嘉里30號
74DA3895E0D6	台南市立安順國小(2016)	臺南市安南區安和路三段193號
74DA3895E0CE	台南市立和順國小(2016)	臺南市安南區安和路五段178巷5號
74DA3895E0D8	台南市立海東國小(2016)	臺南市安南區安中路三段381號
74DA3895E0DA	台南市立安慶國小(2016)	臺南市安南區安中路一段703巷80號
74DA3895E06C	台南市立土城國小(2016)	臺南市安南區城東里城北路195號
74DA3895E0CC	台南市立青草國小(2016)	臺南市安南區青砂街二段105巷32號
74DA3895E0CA	台南市立鎮海國小(2016)	臺南市安南區大眾路381號
74DA3895E07A	台南市立顯宮國小(2016)	臺南市安南區顯宮二街1號
74DA3895E0C4	台南市立長安國小(2016)	臺南市安南區長溪街三段249號
74DA3895E0C6	台南市立南興國小(2016)	臺南市安南區公學路五段627號
74DA3895E0C2	台南市立安佃國小(2016)	臺南市安南區海佃路四段493號
74DA3895E0C0	台南市立海佃國小(2016)	臺南市安南區郡安路五段56號
74DA3895E0B4	台南市立學東國小(2016)	臺南市安南區公學路六段589號
74DA3895E0B6	台南市立西港國小(2016)	臺南市西港區進學街60號
74DA3895E0B8	台南市立港東國小(2016)	臺南市西港區港東里雙張廍1之1號
74DA3895E0BA	台南市立成功國小(2016)	臺南市西港區竹林里11號
74DA3895E0BC	台南市立後營國小(2016)	臺南市西港區營西里3號
74DA3895DE6C	台南市立松林國小(2016)	臺南市西港區檨林里39之1號
74DA3895DE70	台南市立後營國小-金砂分校(2016)	臺南市西港區金砂里10-1號
74DA3895DE6E	台南市立佳里國小(2016)	臺南市佳里區安西里公園路445號
74DA3895DF12	台南市立佳興國小(2016)	臺南市佳里區佳化里214號
74DA3895DF10	台南市立延平國小(2016)	臺南市佳里區頂廍里136號
74DA3895DF0E	台南市立塭內國小(2016)	臺南市佳里區龍安里40號
74DA3895DF0C	台南市立子龍國小(2016)	臺南市佳里區三協里潭墘5號
74DA3895DF0A	台南市立仁愛國小(2016)	臺南市佳里區仁愛路307號
74DA3895DF08	台南市立通興國小(2016)	臺南市佳里區通興里埔頂5之1號
74DA3895DED4	台南市立信義國小(2016)	臺南市佳里區忠仁里信義一街336號
