08BEAC0A0656	臺南市市立協進國小	[700]臺南市中西區金華路四段17號
08BEAC0A0650	臺南市市立進學國小	[700]臺南市中西區南寧街47號
08BEAC0A038C	臺南市市立永福國小	[700]臺南市中西區永福路二段86號
08BEAC0A0464	臺南市市立忠義國小	[700]臺南市中西區永華里忠義路二段2號
08BEAC0A078C	臺南市市立崇明國小	[701]臺南市東區崇明路698號
08BEAC0A03C0	臺南市市立德高國小	[701]臺南市東區崇善路1155號
08BEAC0A0770	臺南市市立崇學國小	[701]臺南市東區崇學路98號
08BEAC0A0040	臺南市市立東光國小	[701]臺南市東區東光路一段39號
08BEAC0A056E	臺南市市立東區大同國小	[701]臺南市東區榮譽街30號
08BEAC0A034A	臺南市市立博愛國小	[701]臺南市東區圍下里前鋒路100號
08BEAC0A0392	臺南市市立裕文國小	[701]臺南市東區裕文路301號
08BEAC0A0264	臺南市市立東區復興國小	[701]臺南市東區裕文路60號
08BEAC0A06AA	臺南市市立東區勝利國小	[701]臺南市東區中西里勝利路10號
08BEAC0A00F8	臺南市市立日新國小	[702]臺南市南區金華路一段473號
08BEAC0A0042	臺南市市立龍崗國小	[702]臺南市南區鯤鯓里鯤鯓路147號
08BEAC0A0064	臺南市市立志開實驗小學	[702]臺南市南區南門路232號
08BEAC0A03CC	臺南市市立省躬國小	[702]臺南市南區灣裡路70號
08BEAC09FF22	臺南市市立喜樹國小	[702]臺南市南區喜東里喜樹路133號
08BEAC09FF5A	臺南市市立南區新興國小	[702]臺南市南區新興路22號
08BEAC0A078A	臺南市市立永華國小	[702]臺南市南區中華西路一段2巷17號
08BEAC0A0512	臺南市市立大港國小	[704]臺南市北區大港街146號
08BEAC0A05F8	臺南市市立賢北國小	[704]臺南市北區大興街599號
08BEAC0A0500	臺南市市立公園國小	[704]臺南市北區公園里公園路180號
08BEAC0A057A	臺南市市立文元國小	[704]臺南市北區海安路三段815號
08BEAC0A0778	臺南市市立開元國小	[704]臺南市北區勝安里開元路71巷32號
