74DA38F7C36C	市立松山國小	臺北市松山區八德路四段746號
74DA38F7C620	市立西松國小	臺北市松山區東光里三民路5號
74DA38F7C62C	市立敦化國小	臺北市松山區中正里敦化北路2號
74DA38F7C364	市立民生國小	臺北市松山區敦化北路199巷18號
74DA38F7C37E	市立民權國小	臺北市松山區民權東路四段200號
74DA38F7C37A	市立民族國小	臺北市松山區民生東路4段97巷7號
74DA38F7C610	市立三民國小	臺北市松山區莊敬里民權東路五段1號
74DA38F7C60C	市立健康國小	臺北市松山區延壽街168號
74DA38F7C60A	市立興雅國小	臺北市信義區雅祥里基隆路1段83巷9號
74DA38F7C378	市立永春國小	臺北市信義區永春里松山路225巷48號
74DA38F7C61A	市立光復國小	臺北市信義區光復南路271號
74DA38F7C626	市立三興國小	臺北市信義區景聯里基隆路2段99號
74DA38F7C616	市立信義國小	臺北市信義區松勤街60號
74DA38F7C61C	市立吳興國小	臺北市信義區松仁路226號
74DA38F7C622	市立福德國小	臺北市信義區中行里褔德街253號
74DA38F7C376	市立永吉國小	臺北市信義區永春里松山路287巷5號
74DA38F7C628	市立博愛國小	臺北市信義區松仁路22鄰95巷20號
74DA38F7C36E	市立龍安國小	臺北市大安區龍門里新生南路3段33號
74DA38F7C36A	市立大安國小	臺北市大安區芳和里臥龍街129號
74DA38F7C370	市立幸安國小	臺北市大安區民炤里仁愛路3段22號
74DA38F7C3CC	市立建安國小	臺北市大安區龍雲里大安路2段99號
74DA38F7C618	市立仁愛國小	臺北市大安區敦安里安和路1段60號
74DA38F7C3D 市立金華國小	臺北市大安區永康里愛國東路79巷11號
074DA38F7C624 市立古亭國小	臺北市大安區古風里羅斯福路3段201號
74DA38F7C612	市立銘傳國小	臺北市大安區農場里羅斯褔路四段21號
74DA38F7C61E	市立公館國小	臺北市大安區基隆路4段41巷68弄2號
74DA38F7C60E	市立新生國小	臺北市大安區新生南路二段36號
74DA38F7C3BE	市立和平實驗國小	臺北市大安區敦南街76巷28號
74DA38F7C3C0	市立中山國小	臺北市中山區恆安里民權東路1段69號
