74DA38C7D060	桃園市桃園國小(2017)	33041桃園市桃園區民權路67號
74DA38C7D062	桃園市東門國小(2017)	33047桃園市桃園區東國街14號
74DA38C7D064	桃園市中埔國小(2017)	3055桃園市桃園區永安路1054號
74DA38C7D074	桃園市成功國小(2017)	33042桃園市桃園區三民路三段22號
74DA38C7D076	桃園市會稽國小(2017)	33050桃園市桃園區春日路1080號
74DA38C7D068	桃園市建國國小(2017)	33070桃園市桃園區昆明路95號
74DA38C7CF5E	桃園市中山國小(2017)	33072桃園市桃園區國際路一段1070號
74DA38C7D058	桃園市文山國小(2017)	33065桃園市桃園區文中路120號
74DA38C7D07C	桃園市南門國小(2017)	33066桃園市桃園區復興路303號
74DA38C7D07E	桃園市西門國小(2017)	33053桃園市桃園區莒光街15號
74DA38C7D06A	桃園市龍山國小(2017)	33057桃園市桃園區龍泉二街36號
74DA38C7CF5C	桃園市北門國小(2017)	33043桃園市桃園區正康三街139號
74DA38C7D3FE	桃園市青溪國小(2017)	33048桃園市桃園區自強路80號
74DA38C7D406	桃園市同安國小(2017)	33071桃園市桃園區同德十一街48號
74DA38C7D078	桃園市建德國小(2017)	33069桃園市桃園區延平路265號
74DA38C7D06C	桃園市大有國小(2017)	33022桃園市桃園區大有路220號
74DA38C7D07A	桃園市慈文國小(2017)	33044桃園市桃園區新埔六街2號
74DA38C7D06E	桃園市大業國小(2017)	33049桃園市桃園區大業路1段135號
74DA38C7D05E	桃園市同德國小(2017)	33045桃園市桃園區同德六街175號
74DA38C7D070	桃園市莊敬國小(2017)	33071桃園市桃園區莊一街107號
74DA38C7D018	桃園市快樂國小(2017)	33052桃園市桃園區大有路789號
74DA38C7CFE4	桃園市永順國小(2017)	33055桃園市桃園區永順街100號
74DA38C7CF2C	桃園市新埔國小(2017)	33044桃園市桃園區經國路208巷36號
74DA38C7D01C	桃園市中壢國小(2017)	32085桃園市中壢區延平路622號
74DA38C7D026	桃園市中平國小(2017)	32001桃園市中壢區過嶺里雙福路12號
74DA38C7D028	桃園市新明國小(2017)	32046桃園市中壢區中央西路二段97號
74DA38C7D02A	桃園市芭里國小(2017)	32054桃園市中壢區啟文路233號
74DA38C7D02C	桃園市新街國小(2017)	32085桃園市中壢區延平路176號
74DA38C7D072	桃園市信義國小(2017)	32088桃園市中壢區成都路55號
74DA38C7D01A	桃園市普仁國小(2017)	32082桃園市中壢區中山東路2段425號
74DA38C7D014	桃園市富台國小(2017)	32078桃園市中壢區中山東路3段369號
74DA38C7D016	桃園市青埔國小(2017)	32056桃園市中壢區新生路4段112號
74DA38C7CFDE	桃園市內壢國小(2017)	32067桃園市中壢區福德路20號
74DA38C7CFE0	桃園市大崙國小(2017)	32052桃園市中壢區崇德路139號
74DA38C7D020	桃園市山東國小(2017)	32053 桃園市中壢區山東一路39 號
74DA38C7D01E	桃園市中正國小(2017)	32080桃園市中壢區榮民路329號
74DA38C7D37C	桃園市自立國小(2017)	32071桃園市中壢區永福路1200號
74DA38C7D416	桃園市龍岡國小(2017)	32096桃園市中壢區龍岡路二段232號
74DA38C7D3FC	桃園市內定國小(2017)	32061桃園市中壢區定寧路31號
