74DA38B052E2	Taoyuan01(2017)
74DA38B0533C	Taoyuan02(2017)
74DA38AF488E	Taoyuan03(2017)
74DA38B0526E	Taoyuan04(2017)
74DA38B05284	Taoyuan05(2017)
74DA38B05248	Taoyuan06(2017)
74DA38B0524E	Taoyuan07(2017)
74DA38B05282	Taoyuan08(2017)
74DA38B0523C	Taoyuan09(2017)
74DA38B05244	Taoyuan10(2017)
74DA38B0523E	Taoyuan11(2017)
74DA38B050BE	Taoyuan12(2017)
74DA38B05234	Taoyuan13(2017)
74DA38B052F0	Taoyuan14(2017)
74DA38B052EE	Taoyuan15(2017)
74DA38B052F4	Taoyuan16(2017)
74DA38B052EC	Taoyuan17(2017)
74DA38B052EA	Taoyuan18(2017)
74DA38B0527E	Taoyuan19(2017)
74DA38B052E4	Taoyuan20(2017)
74DA38B052DE	Taoyuan21(2017)
74DA38B05302	Taoyuan22(2017)
74DA38B052E0	Taoyuan23(2017)
74DA38B052E8	Taoyuan24(2017)
74DA38B052DC	Taoyuan25(2017)
74DA38B052F2	Taoyuan26(2017)
74DA38B05388	Hsinchu01(2017)
