SigFox_41493E-1 EPA_Taoyuan-1
SigFox_41493E-2 EPA_Taoyuan-2
SigFox_41493E-3 EPA_Taoyuan-3
SigFox_41493E-4 EPA_Taoyuan-4
SigFox_41493E-5 EPA_Taoyuan-5
SigFox_41473B-1 EPA_Wanhua-1
SigFox_41473B-2 EPA_Wanhua-2
SigFox_41473B-3 EPA_Wanhua-3
SigFox_41473B-4 EPA_Wanhua-4
SigFox_41473B-5 EPA_Wanhua-5
SigFox_41484D-1 LJ-1
SigFox_41484D-2 LJ-2
SigFox_41484D-3 LJ-3
SigFox_41484D-4 LJ-4
SigFox_41484D-5 LJ-5
SigFox_41484F-1 EPA_Banqiao-1
SigFox_41484F-2 EPA_Banqiao-2
SigFox_41484F-3 EPA_Banqiao-3
SigFox_41484F-4 EPA_Banqiao-4
SigFox_41484F-5 EPA_Banqiao-5
SigFox_416500 9C65F920A9C9
SigFox_41486E 9C65F920A86D
SigFox_414614 9C65F920AEBC
SigFox_41475C 9C65F920C037
SigFox_4149B8 9C65F91E87C7
SigFox_41462B 9C65F920BA33
SigFox_414611 9C65F920A8F6
SigFox_41488F 9C65F920A916
SigFox_414619 9C65F920AEC2
SigFox_4149B3 9C65F91EA64B
SigFox_414738 9C65F920C033
SigFox_414888 9C65F920BA39
SigFox_4149A4 9C65F91EA496
SigFox_41475A 9C65F920C200
SigFox_41472E 9C65F920C07C
SigFox_414854 9C65F920C087
SigFox_414946 9C65F920C042
SigFox_41485D 9C65F920A911
SigFox_414856 9C65F91E8766
SigFox_414865 9C65F91EA2D2
SigFox_41460B 9C65F920AEBB
SigFox_414941 9C65F91E8739
SigFox_4145E8 9C65F920C272
SigFox_414866 9C65F920BA34
SigFox_414855 9C65F920C02C
SigFox_41486C 9C65F920C020
SigFox_51B883-0 Citizen-0-0
SigFox_51B883-1 Citizen-0-1
SigFox_51B883-2 Citizen-0-2
SigFox_51B883-3 Citizen-0-3
SigFox_51B883-4 Citizen-0-4
SigFox_372408-0 Citizen-1-0
SigFox_372408-1 Citizen-1-1
SigFox_372408-2 Citizen-1-2
SigFox_372408-3 Citizen-1-3
SigFox_372408-4 Citizen-1-4
SigFox_74272F-0 Citizen-2-0
SigFox_74272F-1 Citizen-2-1
SigFox_74272F-2 Citizen-2-2
SigFox_74272F-3 Citizen-2-3
SigFox_74272F-4 Citizen-2-4
SigFox_7DA0C3-0 Citizen-3-0
SigFox_7DA0C3-1 Citizen-3-1
SigFox_7DA0C3-2 Citizen-3-2
SigFox_7DA0C3-3 Citizen-3-3
SigFox_7DA0C3-4 Citizen-3-4
SigFox_01A5EF-0 Citizen-4-0
SigFox_01A5EF-1 Citizen-4-1
SigFox_01A5EF-2 Citizen-4-2
SigFox_01A5EF-3 Citizen-4-3
SigFox_01A5EF-4 Citizen-4-4
SigFox_B67185-0 Citizen-5-0
SigFox_B67185-1 Citizen-5-1
SigFox_B67185-2 Citizen-5-2
SigFox_B67185-3 Citizen-5-3
SigFox_B67185-4 Citizen-5-4
SigFox_04361B-0 Citizen-6-0
SigFox_04361B-1 Citizen-6-1
SigFox_04361B-2 Citizen-6-2
SigFox_04361B-3 Citizen-6-3
SigFox_04361B-4 Citizen-6-4
SigFox_E79F5B-0 Citizen-7-0
SigFox_E79F5B-1 Citizen-7-1
SigFox_E79F5B-2 Citizen-7-2
SigFox_E79F5B-3 Citizen-7-3
SigFox_E79F5B-4 Citizen-7-4
SigFox_0EFB29-0 Citizen-8-0
SigFox_0EFB29-1 Citizen-8-1
SigFox_0EFB29-2 Citizen-8-2
SigFox_0EFB29-3 Citizen-8-3
SigFox_0EFB29-4 Citizen-8-4
SigFox_5D1364-0 Citizen-9-0
SigFox_5D1364-1 Citizen-9-1
SigFox_5D1364-2 Citizen-9-2
SigFox_5D1364-3 Citizen-9-3
SigFox_5D1364-4 Citizen-9-4
SigFox_7BB252-0 Citizen-10-0
SigFox_7BB252-1 Citizen-10-1
SigFox_7BB252-2 Citizen-10-2
SigFox_7BB252-3 Citizen-10-3
SigFox_7BB252-4 Citizen-10-4
SigFox_DFC11F-0 Citizen-11-0
SigFox_DFC11F-1 Citizen-11-1
SigFox_DFC11F-2 Citizen-11-2
SigFox_DFC11F-3 Citizen-11-3
SigFox_DFC11F-4 Citizen-11-4
SigFox_BFC9FF-0 Citizen-12-0
SigFox_BFC9FF-1 Citizen-12-1
